X,Y
0.781250,0.500000
0.781250,0.500000
0.781250,0.500000
0.781250,0.500000
0.781250,0.500000
0.781250,0.500000
0.750000,3.500000
0.718750,6.500000
0.625000,9.500000
0.406250,12.500000
-0.031250,16.000000
-0.625000,19.500000
-1.437500,22.500000
-2.531250,25.500000
-4.187500,29.500000
-5.968750,32.500000
-8.062500,35.500000
-10.437500,38.000000
-13.468750,41.000000
-16.218750,43.000000
-19.093750,45.000000
-22.062500,47.000000
-25.593750,49.000000
-28.656250,50.500000
-31.750000,52.000000
-34.843750,53.500000
-38.437500,55.500000
-41.531250,57.000000
-44.562500,58.500000
-47.562500,60.000000
-50.937500,62.500000
-53.750000,64.500000
-56.437500,66.500000
-58.937500,69.000000
